m,M,K,Nr,Epsilon,Sc,E1,phi1,phi2,Gamma,Pb,Sb,Skin -TiO_2,Nusselt-TiO_2,Sherwood-TiO_2,microorganism-TiO_2,Skin -TiO_2/Ag,Nusselt-TiO_2-Ag,Sherwood-TiO_2/Ag,microorganism-TiO_2/Ag
0.23,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.96519558,1.61007744,0.945281331,0.765473264,-3.188132666,1.594002235,0.943617581,0.760876595
0.24,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.967717086,1.610411531,0.945214038,0.765377879,-3.19051773,1.594282544,0.943558528,0.760791665
0.25,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.970236034,1.61074475,0.945146922,0.765282734,-3.192900599,1.59456216,0.943499622,0.760706935
0.26,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.97275243,1.611077099,0.945079983,0.765187829,-3.195281277,1.594841085,0.943440861,0.760622405
0.27,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.975266284,1.611408583,0.94501322,0.765093162,-3.197659772,1.595119322,0.943382245,0.760538074
0.28,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.977777601,1.611739204,0.944946633,0.764998733,-3.200036088,1.595396874,0.943323774,0.760453941
0.29,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.980286389,1.612068967,0.94488022,0.764904541,-3.202410233,1.595673744,0.943265446,0.760370005
0.3,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.982792656,1.612397876,0.944813981,0.764810585,-3.20478221,1.595949934,0.943207262,0.760286266
0.31,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.985296409,1.612725933,0.944747916,0.764716864,-3.207152027,1.596225447,0.94314922,0.760202723
0.32,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.987797655,1.613053143,0.944682023,0.764623376,-3.209519688,1.596500285,0.943091321,0.760119375
0.33,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.990296402,1.613379508,0.944616302,0.764530122,-3.2118852,1.596774452,0.943033564,0.760036222
0.34,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.992792656,1.613705034,0.944550752,0.764437099,-3.214248569,1.59704795,0.942975948,0.759953262
0.35,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.995286425,1.614029722,0.944485372,0.764344308,-3.2166098,1.597320781,0.942918472,0.759870495
0.36,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-2.997777717,1.614353577,0.944420163,0.764251747,-3.218968898,1.597592949,0.942861136,0.759787921
0.37,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.000266537,1.614676602,0.944355122,0.764159415,-3.22132587,1.597864455,0.94280394,0.759705538
0.38,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.002752894,1.6149988,0.944290249,0.764067312,-3.223680721,1.598135302,0.942746883,0.759623346
0.39,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.005236794,1.615320176,0.944225545,0.763975436,-3.226033456,1.598405494,0.942689964,0.759541344
0.4,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.007718245,1.615640732,0.944161007,0.763883787,-3.228384081,1.598675032,0.942633184,0.759459532
0.41,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.010197254,1.615960472,0.944096635,0.763792364,-3.230732603,1.598943919,0.94257654,0.759377908
0.42,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.012673826,1.616279399,0.944032429,0.763701165,-3.233079025,1.599212157,0.942520034,0.759296473
0.43,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.015147971,1.616597517,0.943968388,0.76361019,-3.235423354,1.59947975,0.942463664,0.759215225
0.44,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.017619693,1.616914829,0.943904511,0.763519439,-3.237765596,1.5997467,0.942407429,0.759134163
0.45,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.020089001,1.617231338,0.943840798,0.763428909,-3.240105755,1.600013008,0.94235133,0.759053288
0.46,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.022555901,1.617547048,0.943777247,0.763338601,-3.242443838,1.600278678,0.942295366,0.758972598
0.47,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.0250204,1.617861961,0.943713859,0.763248513,-3.244779849,1.600543712,0.942239536,0.758892092
0.48,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.027482505,1.618176082,0.943650632,0.763158645,-3.247113794,1.600808113,0.94218384,0.75881177
0.49,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.029942223,1.618489414,0.943587567,0.763068996,-3.249445679,1.601071883,0.942128277,0.758731632
0.5,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.03239956,1.618801959,0.943524661,0.762979564,-3.251775508,1.601335024,0.942072847,0.758651676
0.51,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.034854524,1.619113722,0.943461915,0.762890349,-3.254103288,1.60159754,0.942017549,0.758571902
0.52,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.03730712,1.619424704,0.943399328,0.762801351,-3.256429023,1.601859431,0.941962382,0.758492309
0.53,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.039757355,1.619734911,0.9433369,0.762712567,-3.258752719,1.602120701,0.941907347,0.758412897
0.54,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.042205237,1.620044343,0.943274629,0.762623998,-3.261074381,1.602381353,0.941852443,0.758333665
0.55,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.044650772,1.620353006,0.943212515,0.762535643,-3.263394015,1.602641387,0.941797669,0.758254612
0.56,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.047093966,1.620660901,0.943150557,0.7624475,-3.265711625,1.602900808,0.941743025,0.758175737
0.57,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.049534827,1.620968033,0.943088755,0.76235957,-3.268027217,1.603159617,0.94168851,0.75809704
0.58,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.05197336,1.621274404,0.943027109,0.76227185,-3.270340796,1.603417816,0.941634123,0.758018521
0.59,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.054409572,1.621580017,0.942965617,0.762184341,-3.272652368,1.603675409,0.941579865,0.757940178
0.6,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.056843469,1.621884876,0.942904279,0.762097041,-3.274961937,1.603932396,0.941525735,0.757862012
0.61,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.059275059,1.622188983,0.942843094,0.762009949,-3.277269509,1.604188781,0.941471732,0.75778402
0.62,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.061704347,1.622492341,0.942782061,0.761923066,-3.279575088,1.604444566,0.941417856,0.757706204
0.63,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.064131341,1.622794954,0.942721181,0.761836389,-3.28187868,1.604699753,0.941364106,0.757628561
0.64,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.066556045,1.623096825,0.942660452,0.761749919,-3.28418029,1.604954344,0.941310482,0.757551092
0.65,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.068978467,1.623397956,0.942599874,0.761663654,-3.286479924,1.605208342,0.941256984,0.757473795
0.66,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.071398614,1.623698351,0.942539446,0.761577594,-3.288777585,1.605461749,0.94120361,0.757396671
0.67,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.07381649,1.623998013,0.942479168,0.761491738,-3.29107328,1.605714567,0.941150361,0.757319718
0.68,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.076232103,1.624296943,0.942419039,0.761406084,-3.293367012,1.605966798,0.941097236,0.757242936
0.69,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.07864546,1.624595147,0.942359058,0.761320633,-3.295658788,1.606218445,0.941044234,0.757166324
0.7,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.081056565,1.624892625,0.942299226,0.761235383,-3.297948613,1.606469509,0.940991356,0.757089882
0.71,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.083465425,1.625189382,0.94223954,0.761150334,-3.30023649,1.606719994,0.9409386,0.757013609
0.72,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.085872048,1.62548542,0.942180001,0.761065485,-3.302522425,1.606969901,0.940885966,0.756937505
0.73,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.088276437,1.625780743,0.942120608,0.760980835,-3.304806423,1.607219232,0.940833454,0.756861568
0.74,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.090678601,1.626075352,0.942061361,0.760896383,-3.30708849,1.60746799,0.940781063,0.756785799
0.75,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.093078544,1.62636925,0.942002258,0.760812129,-3.309368628,1.607716176,0.940728793,0.756710196
0.76,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.095476274,1.626662442,0.9419433,0.760728071,-3.311646845,1.607963793,0.940676643,0.756634759
0.77,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.097871795,1.626954928,0.941884486,0.76064421,-3.313923144,1.608210844,0.940624614,0.756559487
0.78,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.100265115,1.627246713,0.941825815,0.760560544,-3.316197531,1.608457329,0.940572703,0.756484381
0.79,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.102656239,1.627537799,0.941767286,0.760477073,-3.318470009,1.608703251,0.940520912,0.756409438
0.8,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.105045172,1.627828189,0.9417089,0.760393796,-3.320740585,1.608948613,0.940469239,0.75633466
0.81,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.107431922,1.628117885,0.941650655,0.760310711,-3.323009263,1.609193416,0.940417684,0.756260044
0.82,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.109816494,1.628406891,0.941592551,0.760227819,-3.325276046,1.609437663,0.940366247,0.756185591
0.83,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.112198894,1.628695208,0.941534588,0.760145119,-3.327540942,1.609681355,0.940314928,0.756111299
0.84,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.114579127,1.628982841,0.941476764,0.760062609,-3.329803953,1.609924494,0.940263725,0.756037169
0.85,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.1169572,1.62926979,0.94141908,0.75998029,-3.332065084,1.610167084,0.940212638,0.755963199
0.86,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.119333119,1.62955606,0.941361534,0.75989816,-3.334324341,1.610409125,0.940161668,0.75588939
0.87,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.121706888,1.629841652,0.941304127,0.759816218,-3.336581729,1.610650619,0.940110813,0.75581574
0.88,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.124078515,1.63012657,0.941246857,0.759734465,-3.338837251,1.61089157,0.940060073,0.75574225
0.89,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.126448005,1.630410816,0.941189725,0.759652899,-3.341090912,1.611131978,0.940009447,0.755668917
0.9,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.128815363,1.630694393,0.941132729,0.75957152,-3.343342717,1.611371846,0.939958936,0.755595743
0.91,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.131180595,1.630977303,0.941075869,0.759490326,-3.34559267,1.611611175,0.939908539,0.755522725
0.92,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.133543708,1.631259549,0.941019145,0.759409318,-3.347840777,1.611849969,0.939858256,0.755449865
0.93,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.135904706,1.631541133,0.940962555,0.759328494,-3.350087042,1.612088228,0.939808085,0.755377161
0.94,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.138263595,1.631822059,0.940906101,0.759247854,-3.352331469,1.612325955,0.939758027,0.755304612
0.95,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.140620381,1.632102328,0.94084978,0.759167397,-3.354574062,1.612563151,0.939708081,0.755232218
0.96,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.14297507,1.632381943,0.940793592,0.759087122,-3.356814827,1.612799819,0.939658247,0.755159979
0.97,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.145327667,1.632660907,0.940737538,0.759007029,-3.359053767,1.61303596,0.939608524,0.755087894
0.98,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.147678177,1.632939222,0.940681616,0.758927117,-3.361290888,1.613271577,0.939558912,0.755015962
0.99,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.150026607,1.633216891,0.940625826,0.758847385,-3.363526194,1.613506671,0.939509411,0.754944184
1.0,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.152372961,1.633493917,0.940570167,0.758767833,-3.365759689,1.613741244,0.93946002,0.754872557
1.01,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.154717246,1.633770301,0.94051464,0.75868846,-3.367991377,1.613975299,0.939410738,0.754801082
1.02,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.157059466,1.634046046,0.940459242,0.758609265,-3.370221263,1.614208836,0.939361566,0.754729759
1.03,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.159399627,1.634321155,0.940403975,0.758530248,-3.372449352,1.614441859,0.939312503,0.754658586
1.04,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.161737735,1.63459563,0.940348837,0.758451408,-3.374675648,1.614674368,0.939263549,0.754587564
1.05,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.164073795,1.634869473,0.940293827,0.758372744,-3.376900155,1.614906365,0.939214703,0.754516691
1.06,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.166407812,1.635142688,0.940238947,0.758294256,-3.379122877,1.615137853,0.939165964,0.754445967
1.07,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.168739792,1.635415276,0.940184194,0.758215943,-3.381343819,1.615368834,0.939117333,0.754375392
1.08,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.171069739,1.635687239,0.940129568,0.758137804,-3.383562985,1.615599308,0.939068809,0.754304965
1.09,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.17339766,1.635958581,0.94007507,0.758059839,-3.38578038,1.615829279,0.939020392,0.754234686
1.1,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.17572356,1.636229303,0.940020698,0.757982047,-3.387996008,1.616058747,0.938972081,0.754164554
1.11,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.178047443,1.636499408,0.939966452,0.757904427,-3.390209872,1.616287715,0.938923875,0.754094568
1.12,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.180369315,1.636768898,0.939912331,0.757826979,-3.392421978,1.616516184,0.938875776,0.754024729
1.13,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.182689182,1.637037776,0.939858336,0.757749702,-3.394632329,1.616744157,0.938827781,0.753955034
1.14,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.185007048,1.637306044,0.939804465,0.757672596,-3.39684093,1.616971634,0.938779891,0.753885485
1.15,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.187322919,1.637573704,0.939750718,0.75759566,-3.399047785,1.617198618,0.938732105,0.753816081
1.16,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.1896368,1.637840758,0.939697094,0.757518893,-3.401252898,1.617425111,0.938684424,0.75374682
1.17,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.191948696,1.638107209,0.939643594,0.757442294,-3.403456273,1.617651113,0.938636846,0.753677703
1.18,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.194258612,1.638373059,0.939590216,0.757365864,-3.405657915,1.617876628,0.938589371,0.753608729
1.19,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.196566553,1.63863831,0.939536961,0.757289601,-3.407857827,1.618101656,0.938541999,0.753539898
1.2,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.198872524,1.638902965,0.939483827,0.757213504,-3.410056014,1.6183262,0.93849473,0.753471208
1.21,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.201176531,1.639167026,0.939430815,0.757137574,-3.412252479,1.618550261,0.938447563,0.75340266
1.22,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.203478578,1.639430494,0.939377924,0.75706181,-3.414447228,1.618773841,0.938400497,0.753334253
1.23,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.205778671,1.639693373,0.939325153,0.75698621,-3.416640263,1.618996942,0.938353533,0.753265987
1.24,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.208076814,1.639955664,0.939272501,0.756910775,-3.41883159,1.619219564,0.93830667,0.753197861
1.25,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.210373013,1.64021737,0.93921997,0.756835503,-3.421021212,1.619441711,0.938259908,0.753129874
1.26,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.212667271,1.640478493,0.939167557,0.756760395,-3.423209132,1.619663383,0.938213246,0.753062027
1.27,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.214959596,1.640739034,0.939115263,0.756685449,-3.425395356,1.619884583,0.938166684,0.752994318
1.28,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.21724999,1.640998997,0.939063087,0.756610665,-3.427579887,1.620105311,0.938120222,0.752926747
1.29,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.21953846,1.641258383,0.939011029,0.756536043,-3.429762729,1.620325571,0.938073859,0.752859314
1.3,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.221825009,1.641517194,0.938959088,0.756461581,-3.431943886,1.620545362,0.938027595,0.752792018
1.31,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.224109643,1.641775432,0.938907264,0.756387279,-3.434123363,1.620764687,0.93798143,0.752724859
1.32,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.226392367,1.642033101,0.938855556,0.756313137,-3.436301162,1.620983548,0.937935363,0.752657836
1.33,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.228673186,1.642290201,0.938803964,0.756239155,-3.438477288,1.621201946,0.937889393,0.752590949
1.34,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.230952104,1.642546735,0.938752488,0.75616533,-3.440651745,1.621419883,0.937843522,0.752524198
1.35,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.233229126,1.642802705,0.938701127,0.756091664,-3.442824537,1.62163736,0.937797747,0.752457581
1.36,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.235504257,1.643058113,0.938649881,0.756018155,-3.444995667,1.62185438,0.93775207,0.752391099
1.37,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.237777501,1.643312961,0.938598748,0.755944802,-3.44716514,1.622070942,0.937706489,0.75232475
1.38,0.5,1.0,0.2,0.5,0.2,0.2,0.025,0.025,1.0,0.5,0.5,-3.240048864,1.643567251,0.93854773,0.755871606,-3.449332959,1.62228705,0.937661004,0.752258535
